folder,source_file,direction,llm_sources,total_flowlets,train_size,test_size,feature_dim,train_class_distribution,test_class_distribution,kept_llm,kept_non_llm,skipped_llm_source,skipped_llm_direction,skipped_other,input_sources,model,accuracy,precision,recall,f1,cm_tn,cm_fp,cm_fn,cm_tp,non_llm_precision,non_llm_recall,non_llm_f1,non_llm_support,llm_precision,llm_recall,llm_f1,llm_support,macro_precision,macro_recall,macro_f1,macro_support,weighted_precision,weighted_recall,weighted_f1,weighted_support
3providers,bidirectional_models,both,all,109375,85858,23517,7,"[61303, 24555]","[14232, 9285]",33840,75535,0,0,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,random_forest,0.9152527958498108,0.9139418710263397,0.8669897684437264,0.8898469021168408,13474,758,1235,8050,0.9160377999864029,0.9467397414277684,0.9311357589578798,14232.0,0.9139418710263397,0.8669897684437264,0.8898469021168408,9285.0,0.9149898355063713,0.9068647549357474,0.9104913305373603,23517.0,0.9152102837048114,0.9152527958498108,0.9148340607919128,23517.0
3providers,bidirectional_models,both,all,109375,85858,23517,7,"[61303, 24555]","[14232, 9285]",33840,75535,0,0,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,svm,0.8006548454309649,0.8522605363984674,0.5989229940764674,0.7034788108791904,13268,964,3724,5561,0.7808380414312618,0.932265317594154,0.8498590827568537,14232.0,0.8522605363984674,0.5989229940764674,0.7034788108791904,9285.0,0.8165492889148647,0.7655941558353108,0.7766689468180221,23517.0,0.809037125743483,0.8006548454309649,0.792065111400639,23517.0
3providers,bidirectional_models,both,all,109375,85858,23517,7,"[61303, 24555]","[14232, 9285]",33840,75535,0,0,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,xgboost,0.9094272228600587,0.9051987767584098,0.8607431340872375,0.8824113945014905,13395,837,1293,7992,0.911968954248366,0.9411888701517707,0.9263485477178424,14232.0,0.9051987767584098,0.8607431340872375,0.8824113945014905,9285.0,0.9085838655033879,0.9009660021195041,0.9043799711096665,23517.0,0.9092959475725891,0.9094272228600587,0.9090012471432016,23517.0
3providers,incoming_models,incoming,all,94848,74845,20003,7,"[60374, 14471]","[15161, 4842]",19313,75535,0,14527,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,random_forest,0.9085637154426836,0.8470398525685326,0.7593969434118133,0.8008276162474137,14497,664,1165,3677,0.9256161409781637,0.9562034166611701,0.9406611945625021,15161.0,0.8470398525685326,0.7593969434118133,0.8008276162474137,4842.0,0.8863279967733482,0.8578001800364917,0.8707444054049579,20003.0,0.9065956746241449,0.9085637154426836,0.9068125625472214,20003.0
3providers,incoming_models,incoming,all,94848,74845,20003,7,"[60374, 14471]","[15161, 4842]",19313,75535,0,14527,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,svm,0.8428735689646553,0.8863119599818099,0.40251961999173896,0.5536145433887232,14911,250,2893,1949,0.8375084250730173,0.9835103225380911,0.9046564538146519,15161.0,0.8863119599818099,0.40251961999173896,0.5536145433887232,4842.0,0.8619101925274135,0.6930149712649151,0.7291354986016876,20003.0,0.8493219888398709,0.8428735689646553,0.8196819534755854,20003.0
3providers,incoming_models,incoming,all,94848,74845,20003,7,"[60374, 14471]","[15161, 4842]",19313,75535,0,14527,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,xgboost,0.9270109483577463,0.8470853858784894,0.852333746385791,0.8497014618077002,14416,745,715,4127,0.9527460181085189,0.9508607611635116,0.9518024560940183,15161.0,0.8470853858784894,0.852333746385791,0.8497014618077002,4842.0,0.8999157019935041,0.9015972537746513,0.9007519589508592,20003.0,0.9271694155360146,0.9270109483577463,0.9270875126188219,20003.0
3providers,outgoing_models,outgoing,all,90062,72950,17112,7,"[60833, 12117]","[14702, 2410]",14527,75535,0,19313,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,random_forest,0.9405680224403927,0.8334131163235998,0.7224066390041494,0.7739497666148033,14354,348,669,1741,0.9554682819676497,0.9763297510542783,0.9657863751051303,14702.0,0.8334131163235998,0.7224066390041494,0.7739497666148033,2410.0,0.8944406991456247,0.8493681950292138,0.8698680708599669,17112.0,0.9382784181760321,0.9405680224403927,0.9387687134371963,17112.0
3providers,outgoing_models,outgoing,all,90062,72950,17112,7,"[60833, 12117]","[14702, 2410]",14527,75535,0,19313,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,svm,0.8958041140719962,0.7105439892545332,0.43900414937759336,0.5427032572454475,14271,431,1352,1058,0.9134609229981437,0.9706842606448103,0.9412036273701566,14702.0,0.7105439892545332,0.43900414937759336,0.5427032572454475,2410.0,0.8120024561263385,0.7048442050112018,0.741953442307802,17112.0,0.884882743339302,0.8958041140719962,0.885080094644552,17112.0
3providers,outgoing_models,outgoing,all,90062,72950,17112,7,"[60833, 12117]","[14702, 2410]",14527,75535,0,19313,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,xgboost,0.9313347358578775,0.7911362564827912,0.6962655601659751,0.7406753476053851,14259,443,732,1678,0.9511707024214529,0.9698680451639232,0.9604283837941603,14702.0,0.7911362564827912,0.6962655601659751,0.7406753476053851,2410.0,0.8711534794521221,0.8330668026649491,0.8505518656997727,17112.0,0.9286319568211622,0.9313347358578775,0.9294790606750073,17112.0
chatgpt,bidirectional_models,both,chatgpt,87781,70025,17756,7,"[61189, 8836]","[14346, 3410]",12246,75535,21594,0,0,data\snapshots\snapshot_20260413_111912\20260413_0.2.json,random_forest,0.9387812570398738,0.9355080614923135,0.7316715542521994,0.8211288464702978,14174,172,915,2495,0.9393597985287295,0.9880105952878852,0.9630711737727196,14346.0,0.9355080614923135,0.7316715542521994,0.8211288464702978,3410.0,0.9374339300105214,0.8598410747700422,0.8921000101215086,17756.0,0.9386200810645383,0.9387812570398738,0.9358114679774245,17756.0
